theme,url,img,lines,author
CONFIDENCE,/inspirational-quotes/8307-stay-afraid-but-do-it-anyway-what-s-important,https://assets.passiton.com/quotes/quote_artwork/8307/medium/20220225_friday_quote.jpg?1645297510,"Stay afraid, but do it anyway. What’s important is the action. You don’t have to wait to be confident. Just do it and eventually the confidence will follow. ",<Author:0x00007fe3c1734c70>
CONFIDENCE,/inspirational-quotes/7199-one-must-have-the-adventurous-daring-to-accept,https://assets.passiton.com/quotes/quote_artwork/7199/medium/20220224_thursday_quote.jpg?1645297484,One must have the adventurous daring to accept oneself as a bundle of possibilities and undertake the most interesting game in the world - making the most of one's best.,<Author:0x00007fe3c175e318>
CONFIDENCE,/inspirational-quotes/8306-be-proud-to-wear-you,https://assets.passiton.com/quotes/quote_artwork/8306/medium/20220223_wednesday_quote.jpg?1645297454,Be proud to wear you.,<Author:0x00007fe3c1792f78>
CONFIDENCE,/inspirational-quotes/3472-i-was-always-looking-outside-myself-for,https://assets.passiton.com/quotes/quote_artwork/3472/medium/20220222_tuesday_quote.jpg?1645297430,I was always looking outside myself for strength and confidence but it comes from within. It is there all the time.,<Author:0x00007fe3c17c3128>
CONFIDENCE,/inspirational-quotes/6990-every-small-positive-change-we-make-in,https://assets.passiton.com/quotes/quote_artwork/6990/medium/20220221_monday_quote.jpg?1645297400,Every small positive change we make in ourselves repays us in confidence in the future.,<Author:0x00007fe3c17f8d00>
LOVE,/inspirational-quotes/8305-love-does-not-dominate-it-cultivates,https://assets.passiton.com/quotes/quote_artwork/8305/medium/20220218_friday_quote.jpg?1644611843,Love does not dominate; it cultivates.,<Author:0x00007fe3c18300c0>
LOVE,/inspirational-quotes/6753-there-is-nothing-i-would-not-do-for-those-who,https://assets.passiton.com/quotes/quote_artwork/6753/medium/20220217_thursday_quote.jpg?1644611821,"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.",<Author:0x00007fe3c1875508>
LOVE,/inspirational-quotes/7685-love-in-action-is-service,https://assets.passiton.com/quotes/quote_artwork/7685/medium/20220216_wednesday_quote.jpg?1644611788,Love in action is service.,<Author:0x00007fe3c18a09b0>
LOVE,/inspirational-quotes/7444-where-there-is-love-there-is-life,https://assets.passiton.com/quotes/quote_artwork/7444/medium/20220215_tuesday_quote_alternate.jpg?1644612053,Where there is love there is life.,<Author:0x00007fe3c18d03e0>
LOVE,/inspirational-quotes/7439-at-the-touch-of-love-everyone-becomes-a-poet,https://assets.passiton.com/quotes/quote_artwork/7439/medium/20220214_monday_quote.jpg?1644611729,At the touch of love everyone becomes a poet.,<Author:0x00007fe3c190ad88>
FRIENDSHIP,/inspirational-quotes/8304-a-friend-may-be-waiting-behind-a-stranger-s-face,https://assets.passiton.com/quotes/quote_artwork/8304/medium/20220211_friday_quote_updated.jpg?1644000491,A friend may be waiting behind a stranger’s face.,<Author:0x00007fe3c194d818>
FRIENDSHIP,/inspirational-quotes/3331-wherever-we-are-it-is-our-friends-that-make,https://assets.passiton.com/quotes/quote_artwork/3331/medium/20220210_thursday_quote_updated.jpg?1644000474,"Wherever we are, it is our friends that make our world.",<Author:0x00007fe3c1993d68>
FRIENDSHIP,/inspirational-quotes/8303-find-a-group-of-people-who-challenge-and,https://assets.passiton.com/quotes/quote_artwork/8303/medium/20220209_wednesday_quote_updated.jpg?1644000457,"Find a group of people who challenge and inspire you; spend a lot of time with them, and it will change your life.",<Author:0x00007fe3c19d4318>
FRIENDSHIP,/inspirational-quotes/8302-there-s-not-a-word-yet-for-old-friends-who-ve,https://assets.passiton.com/quotes/quote_artwork/8302/medium/20220208_tuesday_quote_updated.jpg?1644000442,There’s not a word yet for old friends who’ve just met.,<Author:0x00007fe3c1a27748>
FRIENDSHIP,/inspirational-quotes/7435-there-are-good-ships-and-wood-ships-ships-that,https://assets.passiton.com/quotes/quote_artwork/7435/medium/20220207_monday_quote_updated.jpg?1644000426,"There are good ships and wood ships, ships that sail the sea, but the best ships are friendships, may they always be!",<Author:0x00007fe3c1a5d410>
PERSISTENCE,/inspirational-quotes/6377-at-211-degrees-water-is-hot-at-212-degrees,https://assets.passiton.com/quotes/quote_artwork/6377/medium/20220204_friday_quote.jpg?1643401767,"At 211 degrees, water is hot. At 212 degrees, it boils. And with boiling water, comes steam. And with steam, you can power a train. ",<Author:0x00007fe3c1a894e8>
PERSISTENCE,/inspirational-quotes/8301-the-key-of-persistence-opens-all-doors-closed,https://assets.passiton.com/quotes/quote_artwork/8301/medium/20220203_thursday_quote.jpg?1643401731,The key of persistence opens all doors closed by resistance.,<Author:0x00007fe3c1ab8658>
PERSISTENCE,/inspirational-quotes/7918-you-keep-putting-one-foot-in-front-of-the,https://assets.passiton.com/quotes/quote_artwork/7918/medium/20220202_wednesday_quote.jpg?1643401582,"You keep putting one foot in front of the other, and then one day you look back and you've climbed a mountain.",<Author:0x00007fe3c1af2df8>
PERSISTENCE,/inspirational-quotes/7919-to-persist-with-a-goal-you-must-treasure-the,https://assets.passiton.com/quotes/quote_artwork/7919/medium/20220201_tuesday_quote.jpg?1643401538,"To persist with a goal, you must treasure the dream more than the costs of sacrifice to attain it.",<Author:0x00007fe3c1b1c6a8>
PERSISTENCE,/inspirational-quotes/8300-failure-cannot-cope-with-persistence,https://assets.passiton.com/quotes/quote_artwork/8300/medium/20220131_monday_quote.jpg?1643401488,Failure cannot cope with persistence.,<Author:0x00007fe3c1b55458>
INSPIRATION,/inspirational-quotes/8298-though-no-one-can-go-back-and-make-a-brand-new,https://assets.passiton.com/quotes/quote_artwork/8298/medium/20210128_friday_quote.jpg?1642807064,"Though no one can go back and make a brand new start, anyone can start from now and make a brand new ending.",<Author:0x00007fe3c1b806a8>
INSPIRATION,/inspirational-quotes/8297-a-highly-developed-values-system-is-like-a,https://assets.passiton.com/quotes/quote_artwork/8297/medium/20210127_thursday_quote.jpg?1642807024,A highly developed values system is like a compass. It serves as a guide to point you in the right direction when you are lost.,<Author:0x00007fe3c1bb2748>
